
1,training,unorderedBooksAndLocations,,,,,,,,,,,Fun Home,Alison Bechdel,F-2-4,5,3
,,,,,,,,,,,,,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,F-2-5,5,3
,,,,,,,,,,,,,The Art of Manipulating Fabric,Colette Wolff,C-3-5,12,6
,,,,,,,,,,,,,Ubiquitous Computing Fundamentals,John Krumm,F-3-3,5,0
,,,,,,,,,,,,,Location and Context-Awareness,LoCA 2006,G-1-2,0,0
,,,,,,,,,,,,,Guide to Data Analysis,Jarija J. Norusis,B-2-1,17,3
,,,,,,,,,,,,,Capacitive Sensors - Design and Applications,Larry K. Baxter,C-3-1,12,6
,,,,,,,,,,,,,America Again,Stephen Colbert,F-1-2,5,6
,,,,,,,,,,,,,Introduction To Electrical Circuit Analysis,Robert Carter,E-2-3,6,3
,,,,,,,,,,,,,"Computers: Their Structure, Use, and Influence","Slotnick, Slotnick",E-3-5,6,6
,,orderedBooksAndLocations,,,,,,,,,,,Guide to Data Analysis,Jarija J. Norusis,B-2-1,17,3
,,,,,,,,,,,,,The Art of Manipulating Fabric,Colette Wolff,C-3-5,12,6
,,,,,,,,,,,,,Capacitive Sensors - Design and Applications,Larry K. Baxter,C-3-1,12,6
,,,,,,,,,,,,,"Computers: Their Structure, Use, and Influence","Slotnick, Slotnick",E-3-5,6,6
,,,,,,,,,,,,,Introduction To Electrical Circuit Analysis,Robert Carter,E-2-3,6,3
,,,,,,,,,,,,,America Again,Stephen Colbert,F-1-2,5,6
,,,,,,,,,,,,,Fun Home,Alison Bechdel,F-2-4,5,3
,,,,,,,,,,,,,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,F-2-5,5,3
,,,,,,,,,,,,,Ubiquitous Computing Fundamentals,John Krumm,F-3-3,5,0
,,orderedBooksAndLocations,,,,,,,,,,,Conquerors Legacy,Timothy Zahn,A-2-5,18,3
,,,,,,,,,,,,,Applied Combinatorics with Problem Solving,Jackson Thoro,A-3-2,18,6
,,,,,,,,,,,,,Ender in Exile,Orson Scott Card,F-3-4,5,0
,,,,,,,,,,,,,Cognitive Science,George F. Luger,G-3-4,0,6
,,,,,,,,,,,,,America Again,Stephen Colbert,F-1-2,5,6
,,,,,,,,,,,,,Promised Land,"Connie Willis, Cynthia Felice",C-3-4,12,6
,,,,,,,,,,,,,Statistics for Experimenters,"Box, Hunter & Hunter",C-3-2,12,6
,,,,,,,,,,,,,Visual Modeling with Rational Rose and UML,Quatrani,C-1-5,12,0
,,,,,,,,,,,,,Circuit Encyclopedia,McGraw-Hill,B-1-5,17,6
,,,,,,,,,,,,,Electronic Sensor Circuits & Projects,Forrest M. Mims III,A-1-4,18,0
,,orderedPickPath,1,24,0,,,Conquerors Legacy,Timothy Zahn,A-2-5,18,3,,,,,
,,,,23,0,,,,,,,,,,,,
,,,,19,3,,,,,,,,,,,,
,,,,18,3,,,,,,,,,,,,
,,,2,18,3,,,Applied Combinatorics with Problem Solving,Jackson Thoro,A-3-2,18,6,,,,,
,,,,19,3,,,,,,,,,,,,
,,,,19,6,,,,,,,,,,,,
,,,,18,6,,,,,,,,,,,,
,,,3,18,6,,,Ender in Exile,Orson Scott Card,F-3-4,5,0,,,,,
,,,,19,6,,,,,,,,,,,,
,,,,19,8,,,,,,,,,,,,
,,,,4,8,,,,,,,,,,,,
,,,,4,0,,,,,,,,,,,,
,,,,5,0,,,,,,,,,,,,
,,,4,5,0,,,Cognitive Science,George F. Luger,G-3-4,0,6,,,,,
,,,,4,0,,,,,,,,,,,,
,,,,1,6,,,,,,,,,,,,
,,,,0,6,,,,,,,,,,,,
,,,5,0,6,,,America Again,Stephen Colbert,F-1-2,5,6,,,,,
,,,,1,6,,,,,,,,,,,,
,,,,4,6,,,,,,,,,,,,
,,,,5,6,,,,,,,,,,,,
,,,6,5,6,,,Promised Land,"Connie Willis, Cynthia Felice",C-3-4,12,6,,,,,
,,,,4,6,,,,,,,,,,,,
,,,,4,8,,,,,,,,,,,,
,,,,13,8,,,,,,,,,,,,
,,,,13,6,,,,,,,,,,,,
,,,,12,6,,,,,,,,,,,,
,,,7,12,6,,,Statistics for Experimenters,"Box, Hunter & Hunter",C-3-2,12,6,,,,,
,,,,13,6,,,,,,,,,,,,
,,,,13,6,,,,,,,,,,,,
,,,,12,6,,,,,,,,,,,,
,,,8,12,6,,,Visual Modeling with Rational Rose and UML,Quatrani,C-1-5,12,0,,,,,
,,,,13,6,,,,,,,,,,,,
,,,,13,0,,,,,,,,,,,,
,,,,12,0,,,,,,,,,,,,
,,,9,12,0,,,Circuit Encyclopedia,McGraw-Hill,B-1-5,17,6,,,,,
,,,,13,0,,,,,,,,,,,,
,,,,16,6,,,,,,,,,,,,
,,,,17,6,,,,,,,,,,,,
,,,10,17,6,,,Electronic Sensor Circuits & Projects,Forrest M. Mims III,A-1-4,18,0,,,,,
,,,,16,6,,,,,,,,,,,,
,,,,16,8,,,,,,,,,,,,
,,,,19,8,,,,,,,,,,,,
,,,,19,0,,,,,,,,,,,,
,,,,18,0,,,,,,,,,,,,
,,,11,18,0,null,null,,,,,,,,,,
,,,,19,0,,,,,,,,,,,,
,,,,23,0,,,,,,,,,,,,
,,,,24,0,,,,,,,,,,,,
3,training,unorderedBooksAndLocations,,,,,,,,,,,Digital Technology,Gerald E. Williams,G-1-4,0,0
,,,,,,,,,,,,,Knowledge-Based Image Processing Systems,"Graham, Barrett",E-1-4,6,0
,,,,,,,,,,,,,Cognitive Science,George F. Luger,G-3-4,0,6
,,,,,,,,,,,,,An Introduction to Bayesian Networks,Finn. V Jensen,E-3-4,6,6
,,,,,,,,,,,,,Conquerors Legacy,Timothy Zahn,A-2-5,18,3
,,,,,,,,,,,,,Fun Home,Alison Bechdel,F-2-4,5,3
,,,,,,,,,,,,,Public Enemies,Bryan Burrough,G-3-5,0,6
,,,,,,,,,,,,,Discrete-Time Signal Processing,"Oppenheim, Schafer",D-3-1,11,0
,,,,,,,,,,,,,Linux Toys,"Negus, Wolber",D-1-5,11,6
,,,,,,,,,,,,,Introduction to Computing and Algorithms,Russel L. Shackelford,B-3-1,17,0
,,orderedBooksAndLocations,,,,,,,,,,,Linux Toys,"Negus, Wolber",D-1-5,11,6
,,,,,,,,,,,,,Discrete-Time Signal Processing,"Oppenheim, Schafer",D-3-1,11,0
,,,,,,,,,,,,,Knowledge-Based Image Processing Systems,"Graham, Barrett",E-1-4,6,0
,,,,,,,,,,,,,An Introduction to Bayesian Networks,Finn. V Jensen,E-3-4,6,6
,,,,,,,,,,,,,Fun Home,Alison Bechdel,F-2-4,5,3
,,,,,,,,,,,,,Digital Technology,Gerald E. Williams,G-1-4,0,0
,,,,,,,,,,,,,Cognitive Science,George F. Luger,G-3-4,0,6
,,,,,,,,,,,,,Public Enemies,Bryan Burrough,G-3-5,0,6
,,,,,,,,,,,,,Introduction to Computing and Algorithms,Russel L. Shackelford,B-3-1,17,0
,,,,,,,,,,,,,Conquerors Legacy,Timothy Zahn,A-2-5,18,3
,,orderedPickPath,1,24,0,,,Linux Toys,"Negus, Wolber",D-1-5,11,6,,,,,
,,,,23,0,,,,,,,,,,,,
,,,,19,8,,,,,,,,,,,,
,,,,10,8,,,,,,,,,,,,
,,,,10,6,,,,,,,,,,,,
,,,,11,6,,,,,,,,,,,,
,,,2,11,6,,,Discrete-Time Signal Processing,"Oppenheim, Schafer",D-3-1,11,0,,,,,
,,,,10,6,,,,,,,,,,,,
,,,,10,0,,,,,,,,,,,,
,,,,11,0,,,,,,,,,,,,
,,,3,11,0,,,Knowledge-Based Image Processing Systems,"Graham, Barrett",E-1-4,6,0,,,,,
,,,,10,0,,,,,,,,,,,,
,,,,7,0,,,,,,,,,,,,
,,,,6,0,,,,,,,,,,,,
,,,4,6,0,,,An Introduction to Bayesian Networks,Finn. V Jensen,E-3-4,6,6,,,,,
,,,,7,0,,,,,,,,,,,,
,,,,7,6,,,,,,,,,,,,
,,,,6,6,,,,,,,,,,,,
,,,5,6,6,,,Fun Home,Alison Bechdel,F-2-4,5,3,,,,,
,,,,7,6,,,,,,,,,,,,
,,,,7,8,,,,,,,,,,,,
,,,,4,8,,,,,,,,,,,,
,,,,4,3,,,,,,,,,,,,
,,,,5,3,,,,,,,,,,,,
,,,6,5,3,,,Digital Technology,Gerald E. Williams,G-1-4,0,0,,,,,
,,,,4,3,,,,,,,,,,,,
,,,,1,0,,,,,,,,,,,,
,,,,0,0,,,,,,,,,,,,
,,,7,0,0,,,Cognitive Science,George F. Luger,G-3-4,0,6,,,,,
,,,,1,0,,,,,,,,,,,,
,,,,1,6,,,,,,,,,,,,
,,,,0,6,,,,,,,,,,,,
,,,8,0,6,,,Public Enemies,Bryan Burrough,G-3-5,0,6,,,,,
,,,,1,6,,,,,,,,,,,,
,,,,1,6,,,,,,,,,,,,
,,,,0,6,,,,,,,,,,,,
